1,Тварини та зоотовари
2,,Товари для домашніх тварин
3,,,Товари для птахів
4989,,,,Пташині клітки та підставки
4990,,,,Корм для птахів
4991,,,,Драбинки та жердочки для птахів
4992,,,,Іграшки для птахів
4993,,,,Ласощі для птахів
7385,,,,Аксесуари для пташиних кліток
7386,,,,,Миски для їжі та води в пташиній клітці
499954,,,,,Купання для птахів у клітці
7398,,,,Тренажери та гойдалки для птахів
4,,,Товари для котів
3367,,,,Корм для котів
543683,,,,,Дієтичний корм для котів
543684,,,,,Корм для котів без рецепту
4433,,,,Ліжка для котів
4997,,,,Меблі для котів
4999,,,,Наповнювач для котячого туалету
5000,,,,Котячі туалети
5001,,,,Іграшки для котів
5002,,,,Ласощі для котів
5082,,,,Одяг для котів
7142,,,,Килимки для котячого туалету
8069,,,,Пакети для котячого туалету
500059,,,,Аксесуари для меблів для котів
5,,,Товари для собак
3530,,,,Корм для собак
543681,,,,,Дієтичний корм для собак
543682,,,,,Корм для собак без рецепту
4434,,,,Ліжка для собак
5004,,,,Одяг для собак
5010,,,,Іграшки для собак
5011,,,,Ласощі для собак
5094,,,,Будки для собак
7274,,,,Вольєри та загони для собак
7372,,,,Підкладки та пелюшки для собак
7428,,,,Аксесуари для вольєрів та загонів для собак
8123,,,,Бігові доріжки для собак
499900,,,,Підгузки для собак
6,,,Товари для риб
3238,,,,Акваріуми
5019,,,,Декор для акваріумів
5020,,,,Фільтри для акваріумів
5021,,,,Гравій та підкладка для акваріумів
5023,,,,Підставки для акваріумів
5024,,,,Корм для риб
5079,,,,Освітлення для акваріумів
5161,,,,Засоби для обробки води в акваріумі
6085,,,,Добрива для водних рослин
6403,,,,Годівниці для риб
6951,,,,Бокси для переливу в акваріумі
500038,,,,Засоби для чищення акваріумів
500062,,,,Регулятори температури для акваріумів
505303,,,,Трубки для акваріумів та ставків
505306,,,,Сітки для риби в акваріумі
505307,,,,Аератори та дифузори для акваріумів
7,,,Товари для рептилій та амфібій
5026,,,,Корм для рептилій та амфібій
5027,,,,Аксесуари для місць проживання рептилій та амфібій
5028,,,,Обігрів та освітлення для місць проживання рептилій та амфібій
5029,,,,Місця проживання рептилій та амфібій
5030,,,,Субстрати для рептилій та амфібій
4497,,,Дверцята для домашніх тварин
5013,,,Товари для маленьких тварин
5014,,,,Постіль для маленьких тварин
5015,,,,Корм для маленьких тварин
5016,,,,Аксесуари для місць проживання маленьких тварин
5017,,,,Місця проживання та клітки для маленьких тварин
7517,,,,Ласощі для маленьких тварин
